Date,Close,Volume,return_5d,return_10d,return_20d,rsi_14,macd_hist,hist_vol_20d,bb_width,bb_position,atr_14,volume_ratio_20d,obv_change_20d,excess_return_5d,excess_return_20d,future_return,label,inst_net,foreign_net,foreign_net_3d,foreign_net_5d,inst_net_3d,inst_net_5d,foreign_net_ratio_5d,inst_net_ratio_5d,smart_money_aligned
2023-12-06,29480.580078125,1733318,0.12903225082582703,0.1486486003152494,0.15533989054240682,77.69782336446053,475.22450584925997,0.31811862537292834,0.20308404001263325,1.1164399341649784,888.3104038202449,1.3913077121216535,0.018370359304619166,0.13872749578999843,0.12488103983271448,-0.13109238954112867,0.0,9446301350,-1408473050,9748297700.0,8304240600.0,31800606500.0,34975195850.0,0.012339730026245627,0.05197157635390122,1
2023-12-07,28786.919921875,973698,0.09416202553521802,0.10037881530999182,0.14370088180158858,73.97258942483475,441.6526460857924,0.3286121677137199,0.2160944572093896,0.9219557176109097,927.2403411488859,0.7688552423113035,0.01769106134899112,0.11120937319059954,0.1169238542036437,-0.10327023659766266,0.0,1838111700,-3692689200,-4748863400.0,5540629800.0,35331117200.0,41993867900.0,0.008066574170332182,0.061138654330322124,0
2023-12-08,28291.447265625,1182571,0.017825338496419763,0.10658915084004761,0.12845844644687476,67.78521838651082,363.0650843162782,0.3376910279531375,0.21867775690300448,0.8013341987560152,944.935816502064,0.9142931938650242,0.016796360563987145,0.01269957538945854,0.08355991740417346,-0.07705778185917911,0.0,970970600,93651700,-3137909400.0,4647135450.0,19377149000.0,43085019550.0,0.0065990758706732785,0.06118205848721098,0
2023-12-11,27795.974609375,1586443,-0.03608244769297775,0.09143963649403997,0.1153081154146185,64.74359395507291,259.55474370851715,0.3456523154449609,0.2134764393759514,0.6948190465073941,1026.3347756538653,1.1902029535874317,0.015480495875822564,-0.040221757202953956,0.06472066194079762,-0.05347594522278998,0.0,-3715904000,1654835850,-5007510550.0,-8347900900.0,12255383650.0,38140199500.0,-0.01145975912323849,0.05235777286027211,0
2023-12-12,26606.841796875,2662010,-0.06608694650665503,0.0406976424395713,0.0406976424395713,55.36722044005519,100.99012283808707,0.3770037125992358,0.20943194194327322,0.4765526482554095,1097.1164903776933,1.8426143955889278,0.010238892342538053,-0.0825205424754003,-0.001229828856535109,-0.007448815407632425,0.0,-7962027350,4210312900,-1944201650.0,-1389421850.0,-906821700.0,16632215600.0,-0.0017623843250823307,0.02109680084909404,0
2023-12-13,25615.900390625,1698671,-0.13109238954112867,-0.018975284803929515,-0.0019304894431495523,47.05883096939297,-71.35129926323475,0.40208986494131677,0.20975663123679877,0.30032660294819263,1072.3429870921723,1.1358475307783025,0.006199552124452001,-0.1372157174568981,-0.01157792596994256,0.03481625067926175,1.0,-5908818450,-523375750,5958800450.0,857638200.0,-10706960750.0,577452300.0,0.0010531214603949671,0.0007090722049046237,0
2023-12-14,25814.087890625,994364,-0.10327023659766266,-0.01883234571798187,0.005791468329448657,51.39665075131598,-167.24327852900586,0.40297412906616203,0.2088623812189395,0.33367855255854745,1068.8038049979675,0.6567746205278562,0.007881555072488888,-0.12418050872157449,-0.016714942596820714,0.017274436734483478,1.0,-106898300,359538250,5341773000.0,1742735500.0,-17586749800.0,-14777667500.0,0.0021149138656066254,-0.017933584239877134,0
2023-12-15,26111.37109375,778126,-0.07705778185917911,-0.06060602440818241,0.031311105988892196,53.55191268601481,-203.48617456077352,0.40114317663538546,0.2038232834421088,0.37701578598976404,1086.4992339770401,0.5082368555422077,0.00994560268805289,-0.09521214338373918,-0.006630452094501305,0.0018975210004141818,0.0,-2112294900,1719673500,4046475400.0,5794962950.0,-13977744100.0,-16722677500.0,0.006954593292578031,-0.020069053379443185,0
2023-12-18,26309.55859375,481623,-0.05347594522278998,-0.08762884991943387,0.02509643886033852,54.05405117461605,-206.3025384326723,0.3993309723000044,0.20054958615859395,0.4060230666273303,1090.0383184912594,0.3151270648637409,0.00984578285611759,-0.0699092451224892,-0.005274530043386516,-0.032015009991467225,0.0,83673650,-650974750,1555836000.0,7420984750.0,-8128011650.0,-19805943000.0,0.008917427367943119,-0.02379981418990538,0
2023-12-19,26408.65234375,402924,-0.007448815407632425,-0.07304349244890529,0.0349514638906363,51.704535528402886,-193.87388748645628,0.3984440448039331,0.1956167874562369,0.41418618373424504,1065.264718552765,0.2645797911887832,0.011403331923892646,-0.02057563386897654,0.011795924673233094,-0.01681215392386637,0.0,777482950,-191360200,1428237000.0,5115174150.0,-2135519550.0,-16006365350.0,0.006164638984086527,-0.01929034299450817,0
2023-12-20,26507.75,558590,0.03481625067926175,-0.1008402843582743,0.03281854883172586,51.149440651010636,-172.09935992324216,0.39824916465976695,0.1912846114450879,0.423453519713446,1061.7256359262751,0.3699111922422685,0.010954287723900613,-0.0064637873772168675,-0.008030318330285668,-0.0017231841395440872,0.0,-38214300,405340250,877338550.0,713501050.0,-1251138300.0,-7266855050.0,0.0008662655509926447,-0.008822728703583454,0
2023-12-21,26260.01171875,552822,0.017274436734483478,-0.08777973503184056,0.0037878544674301295,39.597318099600066,-167.3504846776484,0.39462363447497883,0.1908308663263395,0.37407198160062877,959.0923330762972,0.3963542168729119,0.005162407029985605,-0.004673731001678005,-0.030033780832896095,0.0133771152460751,1.0,585435650,-613606600,-436994700.0,1642217050.0,822942300.0,-1396250900.0,0.002151242812973438,-0.0018290363711256647,0
2023-12-22,26160.91796875,503678,0.0018975210004141818,-0.07530647961808801,0.02325581750671435,29.23078649136926,-163.65433002081681,0.3854683325007401,0.1867515356130582,0.345854566772004,874.1542938248216,0.36681973824007175,0.005900920228738782,-0.01212592699775561,-0.01795178305169487,0.04573571472833038,1.0,931939600,478972400,-399626550.0,669072200.0,1324704300.0,-703916950.0,0.0008890169097816256,-0.0009353162059818164,0
2023-12-26,25467.2578125,892155,-0.032015009991467225,-0.08377892229364647,0.0,27.737244129446665,-198.38259647849992,0.3977804920680986,0.1867515356130582,0.20796096291263197,838.7634469454414,0.6442999811834983,0.005516331168372801,-0.04593473252151048,-0.042846453261683015,0.05468748322371031,1.0,-1383584150,563556050,270706050.0,-571628900.0,1479160950.0,2340317550.0,-0.0007536271531362951,0.0030854403138844255,1
2023-12-27,25964.666015625,662051,-0.01681215392386637,-0.024135738700315157,0.015579636075615744,22.071226170957218,-178.91067836407223,0.4034881990014777,0.1836695535925653,0.29972274896120227,792.9073652657327,0.4774892175625613,0.005572416218134535,-0.03431228057796143,-0.020799714012857295,0.045976920708574065,1.0,-5253670000,5869402350,428921850.0,642901900.0,133791100.0,873059750.0,0.0008462504198841664,0.001149206714152603,1
2023-12-28,26462.072265625,574905,-0.0017231841395440872,0.03303307172874881,0.01343097498081769,30.93817118720827,-126.08023573326751,0.4021212329334001,0.18204400507781857,0.39579092015553724,771.8663963817211,0.4243263306074165,0.0044962997696362805,-0.0173985005543984,-0.04033100213373064,0.003759360482105123,0.0,1494493700,3735883350,6911930800.0,6703664450.0,-5705314550.0,-5158093200.0,0.009017887004331714,-0.0069387574486088404,0
2024-01-02,26611.294921875,694034,0.0133771152460751,0.030882634111566887,0.011468695951313945,35.394871147095444,-77.04367647059755,0.40175474491607505,0.18094076443810125,0.4226819303807535,736.6137703892457,0.5169175896836943,0.004078689127050561,-0.01346500079081725,-0.04159032982429056,-0.007476706576441283,0.0,-672494950,-135455750,10168841750.0,10034207550.0,-5142760450.0,-3625385200.0,0.01361215500402902,-0.004918106890435284,0
2024-01-03,27357.40625,1205532,0.04573571472833038,0.04772002020791044,-0.0157781249097515,46.34682507118539,5.312011452337746,0.3600276012195709,0.17940076196773597,0.5807099269724884,722.8306987358683,1.0198877484911053,-0.0013049180047882691,0.04273513046482602,-0.056616304569440334,-0.010909123100805607,0.0,-1518898600,2051243400,9469829950.0,10512358400.0,-4431671250.0,-4883315800.0,0.016239500035090233,-0.007543750325850448,0
2024-01-04,26859.998046875,1002503,0.05468748322371031,0.02092165291042769,-0.06854053739196042,52.38339186878253,24.86364392887381,0.3354953522125552,0.16772058286767225,0.4981982834548761,691.2692357738867,0.9413303197081536,-0.008500165398430792,0.06067001133361882,-0.09719719846221064,-0.016666716355256184,0.0,-966118300,-1041891000,5651671000.0,12084629400.0,-696899850.0,-7334154000.0,0.020913036648251518,-0.012692108819317245,0
2024-01-05,27158.44140625,1597423,0.045976920708574065,0.02839179571680983,-0.04672553264814716,66.7001608311966,54.758700476865414,0.33758722543694347,0.1586903337272382,0.5839105240929472,688.0756806864655,1.5406172825277717,-0.002281486868954574,0.059529597913471455,-0.0803224214673024,-0.025640983229057612,0.0,2782324950,507139750,873896650.0,10479182350.0,-3157511850.0,-6916688150.0,0.01872264636443561,-0.012357710928232141,0
2024-01-08,26561.552734375,717906,0.003759360482105123,0.0020296982722034507,-0.09901526143700135,57.449256946828896,32.30686185350985,0.314509216490382,0.12851520722393278,0.4725443645958053,709.5729471766582,0.728024484701853,-0.006340333953129718,0.036697491290349604,-0.1280449839437121,0.0074906347763137315,1.0,-719592900,-3754533850,1516492150.0,5116919750.0,297308050.0,1119306800.0,0.009697091213654141,0.0021212019468672206,1
2024-01-09,26412.330078125,503248,-0.007476706576441283,0.005800391904099644,-0.08248849999216357,53.09057374106419,6.71733135975299,0.30685533355521444,0.10471813338091264,0.45518121124062727,695.5410223398495,0.5228121807567058,-0.00556907637601689,0.03318913330602624,-0.11024451004710412,-0.005649660695728809,0.0,183336850,-358258050,-4289285100.0,-2373497450.0,1096613750.0,-1094779800.0,-0.004627260620197203,-0.0021343319565510256,0
2024-01-10,27058.9609375,950564,-0.010909123100805607,0.03432765508544988,-0.04356391939066717,57.04666482033937,31.27680381331649,0.31871666916014557,0.08691775496244748,0.753657366317287,731.153159659522,0.9995640280443745,-0.0020294922085991596,0.014147382131347475,-0.05314744576301256,-0.06250001804508498,0.0,2238119450,3603415500,-3605652150.0,-2596299750.0,2246068900.0,-238948000.0,-0.005139126358931259,-0.00047297464987003385,0
2024-01-11,26412.330078125,990635,-0.016666716355256184,0.03710930609738172,-0.04977859386816841,50.03135343260976,3.3770238800252415,0.32359779017082396,0.07332742329642036,0.5032329681547417,752.6365126114415,1.0753882865629412,-0.0010405333667242722,0.0014042686572488527,-0.05568266753495199,-0.020715644393417443,0.0,-3238639850,-6623802050,-509376400.0,-1044127650.0,1701863400.0,3518070050.0,-0.0021428077528152963,0.007219948421141128,0
2024-01-12,26462.072265625,816687,-0.025640983229057612,0.01915704402670415,-0.005441064082509883,49.60728320309941,-11.50744250181235,0.2862700651649694,0.07303201597043309,0.5328018363854464,788.2623812523005,0.9852398063243702,0.004786258005458066,-0.005071401334827752,-0.0014099468348821587,-0.005639114531625133,0.0,-60285150,-2186015800,-3378644600.0,-6626038700.0,-817183550.0,1245548500.0,-0.015126065209045731,0.002843365196769692,0
2024-01-15,26760.515625,136336,0.0074906347763137315,0.011278155254782707,0.04468377909503074,54.26591582233303,-1.5561386080185358,0.2526461649823115,0.06820335045936465,0.6687289715825054,777.7555562606298,0.1815863580078617,0.00788478242465751,0.023780747405476976,0.03857778359517705,0.020446109677679347,1.0,1746413300,83315150,-5206402350.0,-9319194250.0,-1060805550.0,-1597061600.0,-0.023403900740870193,-0.0040108050289278325,0
2024-01-16,26263.109375,542287,-0.005649660695728809,-0.013084126416891717,0.01739443540587282,50.815622692898614,-27.34563491399134,0.26224215434189174,0.0646638294084599,0.37419469683216183,795.6307021108732,0.7446936558558075,0.005292649065681054,0.01920154519924322,0.03570675804099244,0.05303028725535275,1.0,-239966950,-3093530750,-8726502700.0,-5481345250.0,-1552511700.0,868944600.0,-0.014172349920403225,0.0022467088590423694,0
2024-01-17,25367.775390625,1019291,-0.06250001804508498,-0.07272732075523425,-0.028477849763430707,49.23076226045799,-99.51733650198645,0.28678818514287535,0.07405090484542687,-0.048291997926889534,820.7222608521042,1.3769370397983303,0.0022730598910947197,-0.02076873812153568,0.02132014729228371,0.08627448655524694,1.0,78892150,-3676969650,-5196231400.0,-8216617950.0,1446161200.0,445640800.0,-0.02094459541913567,0.0011359620606748494,0
2024-01-18,25865.181640625,857803,-0.020715644393417443,-0.037037098979452066,-0.016890323398681573,49.23074692576654,-107.86889772993095,0.2947836816148145,0.07655326370744761,0.22611047407130794,831.380927446488,1.1300729433317434,0.002901240610608591,0.01874078334777407,0.032516369234346865,0.08269238334926765,1.0,-1301804950,4705378200,-6687185250.0,-15497003100.0,1585338500.0,-1713586500.0,-0.03856717363332158,-0.004264578619153519,0
2024-01-19,26312.849609375,693824,-0.005639114531625133,-0.03113550531955056,-0.003627702509313102,48.83720647080703,-78.7097546160303,0.30134290889339876,0.07665162155857887,0.44988143601498987,834.9339320879392,0.8968610561059093,0.003386145604665991,0.015077329729757727,0.033673520660335465,0.07750475999465278,1.0,192789850,5581616450,-2065122200.0,-4167822850.0,-1462879750.0,223248400.0,-0.010179467088391582,0.0005452606365781787,0
